PTT_OP,PTTGC_OP,BCP_OP,TOP_OP,PTT_CL
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
44.20000076293945 , 85.0 , 41.0 , 103.0 , 45.0
45.20000076293945 , 87.75 , 41.75 , 108.0 , 47.20000076293945
47.20000076293945 , 89.5 , 41.75 , 105.5 , 46.79999923706055
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
46.79999923706055 , 90.5 , 41.25 , 106.5 , 46.599998474121094
46.599998474121094 , 90.0 , 40.5 , 104.0 , 46.599998474121094
47.0 , 93.5 , 41.25 , 103.5 , 47.0
46.79999923706055 , 92.0 , 41.5 , 98.75 , 47.20000076293945
47.400001525878906 , 94.0 , 42.5 , 102.0 , 47.0
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
47.79999923706055 , 93.0 , 43.5 , 103.0 , 48.400001525878906
48.79999923706055 , 93.5 , 42.5 , 102.0 , 48.20000076293945
48.20000076293945 , 93.5 , 42.0 , 100.5 , 48.400001525878906
49.0 , 96.0 , 42.25 , 100.0 , 48.0
47.79999923706055 , 94.75 , 41.25 , 99.75 , 47.79999923706055
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
48.0 , 93.75 , 41.0 , 100.5 , 48.400001525878906
48.79999923706055 , 97.0 , 42.0 , 101.0 , 48.79999923706055
48.79999923706055 , 99.25 , 42.25 , 101.5 , 49.20000076293945
49.599998474121094 , 98.25 , 42.25 , 102.5 , 48.599998474121094
48.79999923706055 , 94.5 , 41.25 , 102.5 , 49.0
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
47.828571137927824 , 93.61904761904762 , 43.726190476190474 , 107.5952380952381 , 47.828571137927824
49.599998474121094 , 97.5 , 41.5 , 106.0 , 49.79999923706055
49.400001525878906 , 96.5 , 41.5 , 104.5 , 49.0
48.599998474121094 , 96.25 , 41.75 , 102.0 , 49.20000076293945
